GeoLocation,recclass,name,reclat,mass (g),id,reclong
"(50.775, 6.08333)",L5,Ruiz,50.775,21,10001,6.08333
"(56.18333, 10.23333)",H6,Beeler,56.18333,720,10002,10.23333
"(54.21667, -113.0)",EH4,Brock,54.21667,107000,10003,-113
"(16.88333, -99.9)",Acapulcoite,Hillebrand,16.88333,1914,10004,-99.9
"(-33.16667, -64.95)",L6,Mitchell,-33.16667,780,10005,-64.95
"(32.1, 71.8)",EH4,Ortiz,32.1,4239,10006,71.8
"(44.83333, 95.16667)",LL3-6,Souza,44.83333,910,10007,95.16667
"(44.21667, 0.61667)",H5,Toler,44.21667,30000,10008,0.61667
"(-31.6, -65.23333)",L6,Hachey,-31.6,1620,10009,-65.23333
"(-30.86667, -64.55)",L,Alexander,-30.86667,1440,10010,-64.55
"(16.39806, -9.57028)",Diogenite-pm,Nunez,16.39806,1000,10011,-9.57028
"(19.08333, 8.38333)",L6,Chester,19.08333,24000,10012,8.38333
"(26.58333, 85.56667)",Stone-uncl,Obermeyer,26.58333,2700,10013,85.56667
"(29.51667, 35.05)",L6,Paris,29.51667,779,10014,35.05
"(29.71667, 77.95)",H4,Kelly,29.71667,1800,10015,77.95
"(8.91667, 8.43333)",H,Smith,8.91667,3000,10016,8.43333
"(39.91667, 42.81667)",Iron-IVA,Wills,39.91667,50000,10017,42.81667
"(24.41667, 39.51667)",CR2-an,Becker,24.41667,160,10018,39.51667
"(13.66033, 28.96)",LL5,Ray,13.66033,700,10019,28.96
"(44.11667, 4.08333)",CI1,Obrien,44.11667,6000,10020,4.08333
"(44.65, 11.01667)",L/LL4,Green,44.65,2000,10021,11.01667
"(2.0, 22.66667)",L,Bell,2,625,10022,22.66667
"(45.82133, 6.01533)",Eucrite-mmict,Guillaume,45.82133,252,10023,6.01533
"(51.78333, -1.78333)",LL5,Bautista,51.78333,700,10024,-1.78333
"(36.23333, 37.13333)",L6,Delgado,36.23333,3200,10025,37.13333
"(44.88333, 8.75)",H5,Thompson,44.88333,908,10026,8.75
"(50.95, 31.81667)",H4,Fritter,50.95,9251,10027,31.81667
"(45.26667, 10.15)",L6,Fletcher,45.26667,228000,10028,10.15
"(42.53333, -85.88333)",H5,Belin,42.53333,32000,10029,-85.88333
"(26.96667, -105.31667)",CV3,Poeschel,26.96667,2000000,10030,-105.31667
